subject,description,recordcreatedon,accountid,to,from,direction,statecode,statuscode
Sample Email Subject 1,Sample Email Description1,10-15-2013,A. Datum Corporation,kevin@adatum.com,alex.wayne74@example.com,incoming,completed,received
Sample Email Subject 2,Sample Email Description2,01-08-2020,A. Datum Corporation,kevin@adatum.com,linda.rivers88@example.com,incoming,completed,received
Sample Email Subject 3,Sample Email Description3,03-21-2022,A. Datum Corporation,kevin@adatum.com,samuel.turner13@example.com,incoming,completed,received
Sample Email Subject 4,Sample Email Description4,03-08-2015,A. Datum Corporation,kevin@adatum.com,sophia.green92@example.com,incoming,completed,received
Sample Email Subject 5,Sample Email Description5,11-12-2023,A. Datum Corporation,kevin@adatum.com,michael.brown47@example.com,incoming,completed,received
Sample Email Subject 6,Sample Email Description6,04-18-2008,A. Datum Corporation,kevin@adatum.com,emily.walters56@example.com,incoming,completed,received
Sample Email Subject 7,Sample Email Description7,03-08-2021,A. Datum Corporation,kevin@adatum.com,daniel.smith33@example.com,incoming,completed,received
Sample Email Subject 8,Sample Email Description8,04-08-2004,A. Datum Corporation,kevin@adatum.com,olivia.morris71@example.com,incoming,completed,received
Sample Email Subject 9,Sample Email Description9,10-17-2011,A. Datum Corporation,kevin@adatum.com,james.white21@example.com,incoming,completed,received
Sample Email Subject 10,Sample Email Description10,07-16-2009,A. Datum Corporation,kevin@adatum.com,mia.miller65@example.com,incoming,completed,received
Sample Email Subject 11,Sample Email Description11,12-02-2007,A. Datum Corporation,kevin@adatum.com,william.jones82@example.com,incoming,completed,received
Sample Email Subject 12,Sample Email Description12,03-25-2011,A. Datum Corporation,kevin@adatum.com,ava.james39@example.com,incoming,completed,received
Sample Email Subject 13,Sample Email Description13,07-23-2016,A. Datum Corporation,kevin@adatum.com,benjamin.moore54@example.com,incoming,completed,received
Sample Email Subject 14,Sample Email Description14,06-08-2012,A. Datum Corporation,kevin@adatum.com,isabella.thompson14@example.com,incoming,completed,received
Sample Email Subject 15,Sample Email Description15,10-31-2022,A. Datum Corporation,kevin@adatum.com,ethan.anderson29@example.com,incoming,completed,received
Sample Email Subject 16,Sample Email Description16,05-17-2016,A. Datum Corporation,kevin@adatum.com,amelia.harris60@example.com,incoming,completed,received
Sample Email Subject 17,Sample Email Description17,11-16-2015,A. Datum Corporation,kevin@adatum.com,alexander.wright77@example.com,incoming,completed,received
Sample Email Subject 18,Sample Email Description18,10-25-2010,A. Datum Corporation,kevin@adatum.com,harper.martin30@example.com,incoming,completed,received
Sample Email Subject 19,Sample Email Description19,08-28-2010,A. Datum Corporation,kevin@adatum.com,matthew.clark89@example.com,incoming,completed,received
